Title,Rating,Voting,Duration,Genre_Title
1. Moana 2,6.7, (87K),1h 40m,Animation
2. Flow,7.9, (58K),1h 25m,Animation
3. The Wild Robot,8.2, (151K),1h 42m,Animation
4. Mufasa: The Lion King,6.6, (47K),1h 58m,Animation
5. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,Animation
6. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (1.9K),1h 31m,Animation
7. Night of the Zoopocalypse,6.3, (324),1h 31m,Animation
8. Despicable Me 4,6.2, (62K),1h 34m,Animation
9. Inside Out 2,7.5, (211K),1h 36m,Animation
10. Transformers One,7.6, (47K),1h 44m,Animation
11. Memoir of a Snail,7.8, (15K),1h 35m,Animation
12. Solo Leveling: ReAwakening,8.7, (6.8K),2h 1m,Animation
13. IF,6.4, (57K),1h 44m,Animation
14. Spermageddon,5.7, (600),1h 20m,Animation
15. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,Animation
16. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,Animation
17. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,Animation
18. Kung Fu Panda 4,6.3, (67K),1h 34m,Animation
19. The Garfield Movie,5.7, (24K),1h 41m,Animation
20. Hitpig,5.1, (829),1h 26m,Animation
21. Watchmen: Chapter I,7.0, (6.3K),1h 23m,Animation
22. Spellbound,5.7, (6.3K),1h 49m,Animation
23. Look Back,7.8, (14K),58m,Animation
24. Grand Theft Hamlet,6.9, (1.6K),1h 29m,Animation
25. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Animation
26. Piece by Piece,6.9, (5.1K),1h 33m,Animation
27. Watchmen: Chapter II,7.0, (2.8K),1h 30m,Animation
28. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Animation
29. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
30. Orion and the Dark,6.3, (17K),1h 33m,Animation
31. A Sloth Story,5.7, (176),1h 30m,Animation
32. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Animation
33. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Animation
34. The Most Precious of Cargoes,7.1, (716),1h 21m,Animation
35. That Christmas,6.8, (17K),1h 31m,Animation
36. Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
37. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.3K),1h 34m,Animation
38. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Animation
39. The Lost Tiger,7.8, (34),1h 30m,Animation
40. 200% Wolf,6.0, (1.3K),1h 38m,Animation
41. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.3K),1h 44m,Animation
42. Ultraman: Rising,6.9, (6.2K),1h 57m,Animation
43. 10 Lives,5.9, (1.8K),1h 28m,Animation
44. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Animation
45. Frida,7.5, (1.5K),1h 27m,Animation
46. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Animation
47. Mars,8.9, (19),1h 24m,Animation
48. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,Animation
49. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Animation
50. Buffalo Kids,6.6, (630),1h 33m,Animation
51. Dragonkeeper,5.7, (1.6K),1h 38m,Animation
