Title,Rating,Voting,Duration,Genre_Title
1. Flow,7.9, (55K),1h 25m,Adventure
2. Dune: Part Two,8.5, (611K),2h 46m,Adventure
3. Venom: The Last Dance,6.0, (106K),1h 50m,Adventure
4. Gladiator II,6.6, (214K),2h 28m,Adventure
5. Sonic the Hedgehog 3,6.9, (51K),1h 50m,Adventure
6. The Lord of the Rings: The War of the Rohirrim,6.3, (27K),2h 14m,Adventure
7. Mufasa: The Lion King,6.6, (47K),1h 58m,Adventure
8. Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,Adventure
9. Despicable Me 4,6.2, (62K),1h 34m,Adventure
10. Borderlands,4.7, (45K),1h 41m,Adventure
11. Paddington in Peru,6.7, (16K),1h 46m,Adventure
12. Deadpool & Wolverine,7.6, (478K),2h 8m,Adventure
13. Moana 2,6.7, (84K),1h 40m,Adventure
14. Civil War,7.0, (232K),1h 49m,Adventure
15. The Count of Monte-Cristo,7.6, (32K),2h 58m,Adventure
16. Twisters,6.5, (159K),2h 2m,Adventure
17. Inside Out 2,7.5, (210K),1h 36m,Adventure
18. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,Adventure
19. Madame Web,4.0, (99K),1h 56m,Adventure
20. Red One,6.3, (137K),2h 3m,Adventure
21. Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Adventure
22. Night of the Zoopocalypse,6.2, (294),1h 31m,Adventure
23. Transformers One,7.6, (47K),1h 44m,Adventure
24. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,Adventure
25. The Return,6.2, (7.3K),1h 56m,Adventure
26. Bad Boys: Ride or Die,6.5, (98K),1h 55m,Adventure
27. Damsel,6.1, (108K),1h 50m,Adventure
28. Solo Leveling: ReAwakening,8.7, (6K),2h 1m,Adventure
29. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Adventure
30. Love Lies Bleeding,6.6, (55K),1h 44m,Adventure
31. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,Adventure
32. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,Adventure
33. Freaky Tales,6.5, (362),1h 46m,Adventure
34. The Garfield Movie,5.7, (23K),1h 41m,Adventure
35. Spaceman,5.7, (42K),1h 47m,Adventure
36. Uglies,4.7, (32K),1h 40m,Adventure
37. Kung Fu Panda 4,6.3, (66K),1h 34m,Adventure
38. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Adventure
39. Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Adventure
40. Atlas,5.6, (55K),1h 58m,Adventure
41. Winner,6.5, (2.2K),1h 43m,Adventure
42. A Sloth Story,5.9, (160),1h 30m,Adventure
43. Kalki 2898 AD,7.0, (66K),3h,Adventure
44. Hitpig,5.1, (817),1h 26m,Adventure
45. Arthur the King,7.0, (33K),1h 47m,Adventure
46. Spellbound,5.7, (6.3K),1h 49m,Adventure
47. Survive,4.6, (2K),1h 30m,Adventure
48. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
